255,255,229
255,255,228
254,255,226
254,255,225
254,255,223
254,255,222
253,254,220
253,254,219
253,254,218
253,254,216
252,254,215
252,254,213
252,254,212
252,254,211
251,254,209
251,254,208
251,253,206
251,253,205
250,253,203
250,253,202
250,253,201
250,253,199
249,253,198
249,253,196
249,253,195
249,253,194
248,252,192
248,252,191
248,252,189
248,252,188
247,252,186
247,252,185
246,252,184
245,251,184
244,251,183
243,251,182
242,250,182
241,250,181
240,249,180
240,249,180
239,249,179
238,248,178
237,248,177
236,248,177
235,247,176
234,247,175
233,246,175
232,246,174
231,246,173
230,245,173
229,245,172
228,245,171
227,244,171
226,244,170
225,243,169
225,243,169
224,243,168
223,242,167
222,242,166
221,242,166
220,241,165
219,241,164
218,240,164
217,240,163
216,239,162
214,239,162
213,238,161
212,238,160
210,237,160
209,236,159
207,236,158
206,235,158
205,235,157
203,234,156
202,233,156
201,233,155
199,232,154
198,232,154
196,231,153
195,231,153
194,230,152
192,229,151
191,229,151
190,228,150
188,228,149
187,227,149
185,226,148
184,226,147
183,225,147
181,225,146
180,224,145
179,223,145
177,223,144
176,222,143
174,222,143
173,221,142
171,220,141
170,220,141
168,219,140
166,218,139
165,217,139
163,217,138
161,216,137
160,215,137
158,215,136
156,214,135
155,213,135
153,212,134
151,212,133
150,211,133
148,210,132
147,210,132
145,209,131
143,208,130
142,207,130
140,207,129
138,206,128
137,205,128
135,204,127
133,204,126
132,203,126
130,202,125
128,202,124
127,201,124
125,200,123
123,199,122
122,199,122
120,198,121
118,197,120
117,196,119
115,195,118
113,195,118
111,194,117
110,193,116
108,192,115
106,191,114
105,190,113
103,190,112
101,189,111
99,188,111
98,187,110
96,186,109
94,185,108
93,185,107
91,184,106
89,183,105
87,182,104
86,181,104
84,180,103
82,179,102
80,179,101
79,178,100
77,177,99
75,176,98
74,175,97
72,174,97
70,174,96
68,173,95
67,172,94
65,171,93
64,170,92
63,169,91
62,167,91
61,166,90
60,165,89
59,164,88
58,162,87
58,161,87
57,160,86
56,159,85
55,158,84
54,156,83
53,155,82
52,154,82
51,153,81
50,152,80
49,150,79
48,149,78
47,148,78
46,147,77
45,145,76
44,144,75
43,143,74
43,142,74
42,141,73
41,139,72
40,138,71
39,137,70
38,136,69
37,134,69
36,133,68
35,132,67
34,131,67
33,130,66
32,129,66
31,129,66
30,128,65
28,127,65
27,126,64
26,125,64
25,124,64
24,123,63
23,122,63
22,122,63
21,121,62
20,120,62
19,119,61
18,118,61
16,117,61
15,116,60
14,115,60
13,115,60
12,114,59
11,113,59
10,112,58
9,111,58
8,110,58
7,109,57
5,108,57
4,108,57
3,107,56
2,106,56
1,105,55
0,104,55
0,103,55
0,102,54
0,101,54
0,100,53
0,99,53
0,97,52
0,96,52
0,95,52
0,94,51
0,93,51
0,92,50
0,91,50
0,90,49
0,89,49
0,88,48
0,87,48
0,85,48
0,84,47
0,83,47
0,82,46
0,81,46
0,80,45
0,79,45
0,78,45
0,77,44
0,76,44
0,74,43
0,73,43
0,72,42
0,71,42
0,70,41
0,69,41
