247,244,249
246,243,249
246,243,248
245,242,248
245,242,248
244,241,247
244,240,247
243,240,247
243,239,246
242,238,246
242,238,246
241,237,245
241,237,245
240,236,245
240,235,244
239,235,244
239,234,244
238,234,244
238,233,243
237,232,243
237,232,243
236,231,242
236,231,242
235,230,242
235,229,241
234,229,241
234,228,241
233,227,240
233,227,240
232,226,240
232,226,239
231,225,239
230,224,238
230,223,238
229,221,237
229,220,236
228,219,236
227,218,235
227,216,234
226,215,234
226,214,233
225,213,232
224,211,232
224,210,231
223,209,230
223,208,230
222,206,229
222,205,229
221,204,228
220,203,227
220,201,227
219,200,226
219,199,225
218,198,225
217,196,224
217,195,223
216,194,223
216,193,222
215,191,221
214,190,221
214,189,220
213,188,219
213,186,219
212,185,218
212,184,217
211,183,217
211,182,216
211,180,216
210,179,215
210,178,214
210,177,214
209,176,213
209,175,213
209,173,212
208,172,211
208,171,211
208,170,210
207,169,210
207,168,209
207,167,209
206,165,208
206,164,207
205,163,207
205,162,206
205,161,206
204,160,205
204,158,204
204,157,204
203,156,203
203,155,203
203,154,202
202,153,201
202,151,201
202,150,200
201,149,200
201,148,199
202,147,198
202,145,198
203,144,197
204,142,196
204,141,195
205,139,195
206,138,194
207,136,193
207,135,193
208,133,192
209,132,191
209,130,190
210,129,190
211,127,189
211,126,188
212,125,188
213,123,187
213,122,186
214,120,185
215,119,185
215,117,184
216,116,183
217,114,182
218,113,182
218,111,181
219,110,180
220,108,180
220,107,179
221,105,178
222,104,177
222,102,177
223,101,176
223,99,175
224,97,174
224,95,172
224,94,171
224,92,170
225,90,169
225,88,168
225,86,167
225,84,165
226,82,164
226,80,163
226,79,162
226,77,161
227,75,159
227,73,158
227,71,157
227,69,156
228,67,155
228,65,153
228,64,152
228,62,151
229,60,150
229,58,149
229,56,148
229,54,146
230,52,145
230,50,144
230,49,143
230,47,142
231,45,140
231,43,139
231,41,138
230,40,136
229,40,135
229,39,133
228,38,132
227,37,130
226,37,128
226,36,127
225,35,125
224,35,123
223,34,122
222,33,120
222,32,119
221,32,117
220,31,115
219,30,114
219,30,112
218,29,110
217,28,109
216,27,107
215,27,106
215,26,104
214,25,102
213,24,101
212,24,99
211,23,97
211,22,96
210,22,94
209,21,93
208,20,91
208,19,89
207,19,88
206,18,86
204,17,85
203,17,85
201,16,84
199,16,84
198,15,83
196,15,82
194,14,82
193,14,81
191,13,81
189,12,80
187,12,79
186,11,79
184,11,78
182,10,78
181,10,77
179,9,77
177,8,76
176,8,75
174,7,75
172,7,74
171,6,74
169,6,73
167,5,72
166,5,72
164,4,71
162,3,71
160,3,70
159,2,69
157,2,69
155,1,68
154,1,68
152,0,67
150,0,66
149,0,65
147,0,64
146,0,63
144,0,61
143,0,60
141,0,59
140,0,58
138,0,57
137,0,56
135,0,55
134,0,54
132,0,52
131,0,51
129,0,50
128,0,49
126,0,48
124,0,47
123,0,46
121,0,45
120,0,43
118,0,42
117,0,41
115,0,40
114,0,39
112,0,38
111,0,37
109,0,36
108,0,34
106,0,33
105,0,32
103,0,31
