166,206,227
160,202,225
154,199,223
148,195,221
143,191,219
137,187,217
131,184,215
125,180,213
119,176,211
113,172,209
107,169,207
101,165,205
96,161,202
90,157,200
84,154,198
78,150,196
72,146,194
66,142,192
60,139,190
54,135,188
49,131,186
43,127,184
37,124,182
31,120,180
37,124,178
44,129,176
50,133,175
57,138,173
63,142,171
69,147,169
76,151,167
82,156,165
89,160,164
95,165,162
101,169,160
108,174,158
114,178,156
120,183,154
127,187,153
133,192,151
140,196,149
146,201,147
152,205,145
159,210,143
165,214,142
172,219,140
178,223,138
172,220,134
167,218,130
161,215,126
156,212,122
150,209,118
145,207,113
139,204,109
134,201,105
128,198,101
123,196,97
117,193,93
112,190,89
106,187,85
101,185,81
95,182,77
90,179,73
84,176,69
79,174,64
73,171,60
68,168,56
62,165,52
57,163,48
51,160,44
60,160,49
68,159,53
77,159,58
86,159,63
94,159,68
103,158,72
112,158,77
121,158,82
129,158,87
138,157,91
147,157,96
155,157,101
164,157,106
173,156,110
181,156,115
190,156,120
199,156,125
208,155,129
216,155,134
225,155,139
234,155,144
242,154,148
251,154,153
250,148,148
249,143,142
248,137,137
247,132,131
246,126,126
245,121,120
244,115,115
243,109,110
242,104,104
241,98,99
240,93,93
238,87,88
237,82,82
236,76,77
235,71,71
234,65,66
233,59,61
232,54,55
231,48,50
230,43,44
229,37,39
228,32,33
227,26,28
228,33,31
229,40,35
230,47,38
231,54,42
232,60,45
234,67,49
235,74,52
236,81,56
237,88,59
238,95,63
239,102,66
240,109,70
241,115,73
242,122,76
243,129,80
244,136,83
245,143,87
247,150,90
248,157,94
249,164,97
250,170,101
251,177,104
252,184,108
253,191,111
253,188,106
253,185,101
253,183,97
253,180,92
253,177,87
254,174,82
254,172,77
254,169,72
254,166,68
254,163,63
254,160,58
254,158,53
254,155,48
254,152,43
254,149,39
254,146,34
254,144,29
255,141,24
255,138,19
255,135,14
255,133,10
255,130,5
255,127,0
253,129,9
250,131,19
248,134,28
246,136,37
243,138,47
241,140,56
239,143,65
237,145,74
234,147,84
232,149,93
230,151,102
227,154,112
225,156,121
223,158,130
220,160,140
218,162,149
216,165,158
214,167,167
211,169,177
209,171,186
207,174,195
204,176,205
202,178,214
198,173,211
194,168,209
189,163,206
185,158,204
181,153,201
177,147,198
173,142,196
169,137,193
164,132,191
160,127,188
156,122,185
152,117,183
148,112,180
144,107,177
139,102,175
135,97,172
131,92,170
127,86,167
123,81,164
119,76,162
114,71,159
110,66,157
106,61,154
112,69,154
119,78,154
125,86,154
132,95,154
138,103,154
145,112,154
151,120,154
158,128,154
164,137,154
171,145,154
177,154,154
184,162,153
190,171,153
197,179,153
203,188,153
210,196,153
216,204,153
223,213,153
229,221,153
236,230,153
242,238,153
249,247,153
255,255,153
252,248,148
249,241,144
245,234,139
242,227,134
239,220,129
236,214,125
232,207,120
229,200,115
226,193,111
223,186,106
219,179,101
216,172,97
213,165,92
210,158,87
206,151,82
203,144,78
200,137,73
197,131,68
193,124,64
190,117,59
187,110,54
184,103,49
180,96,45
177,89,40
